 Time              Xpos              Ypos              Zpos
0.000000         -0.624220          1.363946          1.000000
0.100000         -0.882752          1.212745          1.200000
0.200000         -1.106091          1.013195          1.400000
0.300000         -1.285333          0.773252          1.600000
0.400000         -1.413334          0.502482          1.800000
0.500000         -1.484989          0.211680          2.000000
0.600000         -1.497442         -0.087561          2.200000
0.700000         -1.450197         -0.383312          2.400000
0.800000         -1.345138         -0.663781          2.600000
0.900000         -1.186452         -0.917787          2.800000
1.000000         -0.980465         -1.135204          3.000000
1.100000         -0.735391         -1.307364          3.200000
1.200000         -0.460999         -1.427403          3.400000
1.300000         -0.168229         -1.490537          3.600000
1.400000          0.131248         -1.494247          3.800000
1.500000          0.425493         -1.438386          4.000000
1.600000          0.702775         -1.325182          4.200000
1.700000          0.952039         -1.159147          4.400000
1.800000          1.163349         -0.946900          4.600000
1.900000          1.328279         -0.696903          4.800000
2.000000          1.440255         -0.419123          5.000000
2.100000          1.494813         -0.124634          5.200000
2.200000          1.489777          0.174824          5.400000
2.300000          1.425349          0.467312          5.600000
2.400000          1.304096          0.741170          5.800000
2.500000          1.130853          0.985480          6.000000
2.600000          0.912527          1.190502          6.200000
2.700000          0.657821          1.348062          6.400000
2.800000          0.376890          1.451880          6.600000
2.900000          0.080933          1.497815          6.800000
3.000000         -0.218250          1.484037          7.000000
3.100000         -0.508732          1.411096          7.200000
