time        x_pos        y_pos
 0.1     0.828797      1.25024
 0.2     0.563892      1.38997
 0.3     0.276507      1.47429
 0.4    -0.021902      1.49984
 0.5    -0.319438      1.46559
 0.6    -0.604238      1.37292
 0.7     -0.86495       1.2255
 0.8     -1.09118      1.02924
 0.9     -1.27391     0.791937
   1     -1.40585     0.523065
 1.1     -1.48174      0.23334
 1.2     -1.49856   -0.0656873
 1.3     -1.45564    -0.362096
 1.4     -1.35469    -0.644069
 1.5     -1.19973    -0.900365
 1.6    -0.996936     -1.12077
 1.7    -0.754402     -1.29649
 1.8    -0.481792     -1.42052
 1.9    -0.189975     -1.48792
   2     0.109417       -1.496
 2.1     0.404446     -1.44445
 2.2     0.683351      -1.3353
 2.3     0.935013     -1.17292
 2.4       1.1494    -0.963785
 2.5      1.31796    -0.716224
 2.6      1.43398    -0.440108
 2.7      1.49283    -0.146447
 2.8      1.49217     0.153052
 2.9      1.43202      0.44645
   3      1.31478     0.722049
 3.1      1.14512     0.968863
 3.2     0.929813      1.17705
