time        x_pos        y_pos        z_pos
 0.1       0.8288       1.2502         0.71
 0.2      0.56389         1.39         0.92
 0.3      0.27651       1.4743         1.13
 0.4    -0.021902       1.4998         1.34
 0.5     -0.31944       1.4656         1.55
 0.6     -0.60424       1.3729         1.76
 0.7     -0.86495       1.2255         1.97
 0.8      -1.0912       1.0292         2.18
 0.9      -1.2739      0.79194         2.39
   1      -1.4058      0.52307          2.6
 1.1      -1.4817      0.23334         2.81
 1.2      -1.4986    -0.065687         3.02
 1.3      -1.4556      -0.3621         3.23
 1.4      -1.3547     -0.64407         3.44
 1.5      -1.1997     -0.90037         3.65
 1.6     -0.99694      -1.1208         3.86
 1.7      -0.7544      -1.2965         4.07
 1.8     -0.48179      -1.4205         4.28
 1.9     -0.18997      -1.4879         4.49
   2      0.10942       -1.496          4.7
 2.1      0.40445      -1.4444         4.91
 2.2      0.68335      -1.3353         5.12
 2.3      0.93501      -1.1729         5.33
 2.4       1.1494     -0.96379         5.54
 2.5        1.318     -0.71622         5.75
 2.6        1.434     -0.44011         5.96
 2.7       1.4928     -0.14645         6.17
 2.8       1.4922      0.15305         6.38
 2.9        1.432      0.44645         6.59
   3       1.3148      0.72205          6.8
 3.1       1.1451      0.96886         7.01
 3.2      0.92981       1.1771         7.22
