Tiempo,x,y,z
0,-0.416147,0.909297,    1
0.0628,-0.526776,0.850004,0.9372
0.1256,-0.629107,0.777319,0.8744
0.1884,-0.721526,0.692387,0.8116
0.2512,-0.802578,0.596548,0.7488
0.314,-0.870985,0.49131,0.686
0.3768,-0.92567,0.378331,0.6232
0.4396,-0.965772,0.259392,0.5604
0.5024,-0.990658,0.136366,0.4976
0.5652,-0.999937,0.0111922,0.4348
0.628,-0.993463,-0.114158,0.372
0.6908,-0.971336,-0.23771,0.3092
0.7536,-0.933907,-0.357517,0.2464
0.8164,-0.881764,-0.471691,0.1836
0.8792,-0.815729,-0.578434,0.1208
0.942,-0.736843,-0.676064,0.0579999
1.0048,-0.646348,-0.763043,-0.00480008
1.0676,-0.54567,-0.838,-0.0676001
1.1304,-0.436395,-0.899755,-0.1304
1.1932,-0.320246,-0.947335,-0.1932
1.256,-0.19905,-0.979989,-0.256
1.3188,-0.0747193,-0.997205,-0.3188
1.3816,0.0507894,-0.998709,-0.3816
1.4444,0.175498,-0.98448,-0.4444
1.5072,0.297441,-0.95474,-0.5072
1.57,0.414698,-0.909959,-0.57
1.6328,0.525422,-0.850842,-0.6328
1.6956,0.627868,-0.77832,-0.6956
1.7584,0.720423,-0.693535,-0.7584
1.8212,0.801627,-0.597825,-0.8212
1.884,0.870202,-0.492696,-0.884
1.9468,0.925067,-0.379804,-0.9468
2.0096,0.965358,-0.26093,-1.0096
2.0724,0.99044,-0.137944,-1.0724
2.1352,0.999918,-0.0127844,-1.1352
2.198,0.993643,0.112576,-1.198
2.2608,0.971714,0.236163,-1.2608
2.3236,0.934475,0.356029,-1.3236
2.3864,0.882514,0.470286,-1.3864
2.4492,0.816649,0.577134,-1.4492
2.512,0.737919,0.674889,-1.512
2.5748,0.647562,0.762012,-1.5748
2.6376,0.547004,0.83713,-1.6376
2.7004,0.437828,0.899059,-1.7004
2.7632,0.321754,0.946823,-1.7632
2.826,0.200611,0.979671,-1.826
2.8888,0.0763071,0.997084,-1.8888
2.9516,-0.0491991,0.998789,-1.9516
3.0144,-0.17393,0.984758,-2.0144
3.0772,-0.29592,0.955213,-2.0772
3.14,-0.413249,0.910618,-2.14
3.2028,-0.524067,0.851677,-2.2028
3.2656,-0.626628,0.779319,-2.2656
3.3284,-0.719318,0.694681,-2.3284
3.3912,-0.800673,0.599101,-2.3912
3.454,-0.869416,0.494081,-2.454
3.5168,-0.924461,0.381277,-2.5168
3.5796,-0.964941,0.262466,-2.5796
3.6424,-0.990219,0.139521,-2.6424
3.7052,-0.999897,0.0143771,-2.7052
3.768,-0.993821,-0.110994,-2.768
3.8308,-0.972088,-0.234615,-2.8308
3.8936,-0.935041,-0.354541,-2.8936
3.9564,-0.883262,-0.46888,-2.9564
4.0192,-0.817567,-0.575833,-3.0192
4.082,-0.738993,-0.673714,-3.082
4.1448,-0.648775,-0.76098,-3.1448
4.2076,-0.548337,-0.836258,-3.2076
4.2704,-0.439259,-0.898361,-3.2704
4.3332,-0.323261,-0.94631,-3.3332
4.396,-0.20217,-0.97935,-3.396
4.4588,-0.0778947,-0.996962,-3.4588
4.5216,0.0476082,-0.998866,-3.5216
4.5844,0.172361,-0.985034,-3.5844
4.6472,0.294399,-0.955683,-3.6472
4.71,0.411798,-0.911275,-3.71
4.7728,0.52271,-0.852511,-3.7728
4.8356,0.625386,-0.780315,-3.8356
4.8984,0.71821,-0.695826,-3.8984
4.9612,0.799718,-0.600375,-3.9612
5.024,0.868628,-0.495465,-4.024
5.0868,0.923853,-0.382748,-4.0868
5.1496,0.964522,-0.264003,-4.1496
5.2124,0.989996,-0.141097,-4.2124
5.2752,0.999873,-0.0159692,-4.2752
5.338,0.993997,0.109411,-4.338
5.4008,0.972461,0.233066,-4.4008
5.4636,0.935604,0.353052,-4.4636
5.5264,0.884007,0.467473,-4.5264
5.5892,0.818483,0.57453,-4.5892
5.652,0.740064,0.672536,-4.652
5.7148,0.649986,0.759946,-4.7148
5.7776,0.549668,0.835383,-4.7776
5.8404,0.440689,0.89766,-4.8404
5.9032,0.324767,0.945794,-4.9032
5.966,0.20373,0.979027,-4.966
6.0288,0.079482,0.996836,-5.0288
6.0916,-0.0460176,0.998941,-5.0916
6.1544,-0.170792,0.985307,-5.1544
6.2172,-0.292876,0.95615,-5.2172
6.28,-0.410347,0.911929,-5.28
