time xPos      yPos      
0    1.0607    1.0607    
0.1  0.8288    1.2502    
0.2  0.56389   1.39      
0.3  0.27651   1.4743    
0.4  -0.021902 1.4998    
0.5  -0.31944  1.4656    
0.6  -0.60424  1.3729    
0.7  -0.86495  1.2255    
0.8  -1.0912   1.0292    
0.9  -1.2739   0.79194   
1    -1.4058   0.52307   
1.1  -1.4817   0.23334   
1.2  -1.4986   -0.065687 
1.3  -1.4556   -0.3621   
1.4  -1.3547   -0.64407  
1.5  -1.1997   -0.90037  
1.6  -0.99694  -1.1208   
1.7  -0.7544   -1.2965   
1.8  -0.48179  -1.4205   
1.9  -0.18997  -1.4879   
2    0.10942   -1.496    
2.1  0.40445   -1.4444   
2.2  0.68335   -1.3353   
2.3  0.93501   -1.1729   
2.4  1.1494    -0.96379  
2.5  1.318     -0.71622  
2.6  1.434     -0.44011  
2.7  1.4928    -0.14645  
2.8  1.4922    0.15305   
2.9  1.432     0.44645   
3    1.3148    0.72205   
3.1  1.1451    0.96886   
3.2  0.92981   1.1771    
3.3  0.67743   1.3383    
3.4  0.39805   1.4462    
3.5  0.10279   1.4965    
3.6  -0.19656  1.4871    
3.7  -0.48807  1.4184    
3.8  -0.76013  1.2931    
3.9  -1.0019   1.1163    
4    -1.2037   0.89505   
4.1  -1.3575   0.63807   
4.2  -1.4572   0.35565   
4.3  -1.4988   0.059054  
4.4  -1.4807   -0.2399   
4.5  -1.4035   -0.52928  
4.6  -1.2704   -0.79757  
4.7  -1.0866   -1.0341   
4.8  -0.85952  -1.2293   
4.9  -0.59816  -1.3756   
5    -0.31295  -1.467    
5.1  -0.015264 -1.4999   
5.2  0.28303   -1.4731   
5.3  0.57004   -1.3875   
5.4  0.83432   -1.2466   
5.5  1.0653    -1.056    
5.6  1.2539    -0.82326  
5.7  1.3925    -0.55774  
5.8  1.4755    -0.26998  
5.9  1.4997    0.02854   
6    1.4642    0.32592   
6.1  1.3702    0.61031   
6.2  1.2217    0.87037   
6.3  1.0244    1.0957    
6.4  0.78629   1.2774    
6.5  0.51684   1.4081    
6.6  0.22678   1.4828    
6.7  -0.072319 1.4983    
6.8  -0.36853  1.454     
6.9  -0.65006  1.3518    
7    -0.90567  1.1957    
7.1  -1.1252   0.99197   
7.2  -1.2998   0.74866   
7.3  -1.4226   0.4755    
7.4  -1.4887   0.18339   
7.5  -1.4955   -0.11604  
7.6  -1.4426   -0.41083  
7.7  -1.3323   -0.68925  
7.8  -1.1688   -0.94019  
7.9  -0.95869  -1.1537   
8    -0.71038  -1.3211   
8.1  -0.43376  -1.4359   
8.2  -0.13984  -1.4935   
8.3  0.15965   -1.4915   
8.4  0.45278   -1.43     
8.5  0.72786   -1.3116   
8.6  0.97392   -1.1408   
8.7  1.1812    -0.92459  
8.8  1.3413    -0.6715   
8.9  1.448     -0.39164  
9    1.4969    -0.096171 
9.1  1.4862    0.20314   
9.2  1.4162    0.49435   
9.3  1.2898    0.76585   
9.4  1.1119    1.0068    
9.5  0.88971   1.2076    
9.6  0.63205   1.3603    
9.7  0.3492    1.4588    
9.8  0.05242   1.4991    
9.9  -0.24645  1.4796    
10   -0.53549  1.4012    
