time xPos      yPos      zPos      
0    1.0607    1.0607    0.5       
0.1  0.8288    1.2502    0.71      
0.2  0.56389   1.39      0.92      
0.3  0.27651   1.4743    1.13      
0.4  -0.021902 1.4998    1.34      
0.5  -0.31944  1.4656    1.55      
0.6  -0.60424  1.3729    1.76      
0.7  -0.86495  1.2255    1.97      
0.8  -1.0912   1.0292    2.18      
0.9  -1.2739   0.79194   2.39      
1    -1.4058   0.52307   2.6       
1.1  -1.4817   0.23334   2.81      
1.2  -1.4986   -0.065687 3.02      
1.3  -1.4556   -0.3621   3.23      
1.4  -1.3547   -0.64407  3.44      
1.5  -1.1997   -0.90037  3.65      
1.6  -0.99694  -1.1208   3.86      
1.7  -0.7544   -1.2965   4.07      
1.8  -0.48179  -1.4205   4.28      
1.9  -0.18997  -1.4879   4.49      
2    0.10942   -1.496    4.7       
2.1  0.40445   -1.4444   4.91      
2.2  0.68335   -1.3353   5.12      
2.3  0.93501   -1.1729   5.33      
2.4  1.1494    -0.96379  5.54      
2.5  1.318     -0.71622  5.75      
2.6  1.434     -0.44011  5.96      
2.7  1.4928    -0.14645  6.17      
2.8  1.4922    0.15305   6.38      
2.9  1.432     0.44645   6.59      
3    1.3148    0.72205   6.8       
3.1  1.1451    0.96886   7.01      
3.2  0.92981   1.1771    7.22      
3.3  0.67743   1.3383    7.43      
3.4  0.39805   1.4462    7.64      
3.5  0.10279   1.4965    7.85      
3.6  -0.19656  1.4871    8.06      
3.7  -0.48807  1.4184    8.27      
3.8  -0.76013  1.2931    8.48      
3.9  -1.0019   1.1163    8.69      
4    -1.2037   0.89505   8.9       
4.1  -1.3575   0.63807   9.11      
4.2  -1.4572   0.35565   9.32      
4.3  -1.4988   0.059054  9.53      
4.4  -1.4807   -0.2399   9.74      
4.5  -1.4035   -0.52928  9.95      
4.6  -1.2704   -0.79757  10.16     
4.7  -1.0866   -1.0341   10.37     
4.8  -0.85952  -1.2293   10.58     
4.9  -0.59816  -1.3756   10.79     
5    -0.31295  -1.467    11        
5.1  -0.015264 -1.4999   11.21     
5.2  0.28303   -1.4731   11.42     
5.3  0.57004   -1.3875   11.63     
5.4  0.83432   -1.2466   11.84     
5.5  1.0653    -1.056    12.05     
5.6  1.2539    -0.82326  12.26     
5.7  1.3925    -0.55774  12.47     
5.8  1.4755    -0.26998  12.68     
5.9  1.4997    0.02854   12.89     
6    1.4642    0.32592   13.1      
6.1  1.3702    0.61031   13.31     
6.2  1.2217    0.87037   13.52     
6.3  1.0244    1.0957    13.73     
6.4  0.78629   1.2774    13.94     
6.5  0.51684   1.4081    14.15     
6.6  0.22678   1.4828    14.36     
6.7  -0.072319 1.4983    14.57     
6.8  -0.36853  1.454     14.78     
6.9  -0.65006  1.3518    14.99     
7    -0.90567  1.1957    15.2      
7.1  -1.1252   0.99197   15.41     
7.2  -1.2998   0.74866   15.62     
7.3  -1.4226   0.4755    15.83     
7.4  -1.4887   0.18339   16.04     
7.5  -1.4955   -0.11604  16.25     
7.6  -1.4426   -0.41083  16.46     
7.7  -1.3323   -0.68925  16.67     
7.8  -1.1688   -0.94019  16.88     
7.9  -0.95869  -1.1537   17.09     
8    -0.71038  -1.3211   17.3      
8.1  -0.43376  -1.4359   17.51     
8.2  -0.13984  -1.4935   17.72     
8.3  0.15965   -1.4915   17.93     
8.4  0.45278   -1.43     18.14     
8.5  0.72786   -1.3116   18.35     
8.6  0.97392   -1.1408   18.56     
8.7  1.1812    -0.92459  18.77     
8.8  1.3413    -0.6715   18.98     
8.9  1.448     -0.39164  19.19     
9    1.4969    -0.096171 19.4      
9.1  1.4862    0.20314   19.61     
9.2  1.4162    0.49435   19.82     
9.3  1.2898    0.76585   20.03     
9.4  1.1119    1.0068    20.24     
9.5  0.88971   1.2076    20.45     
9.6  0.63205   1.3603    20.66     
9.7  0.3492    1.4588    20.87     
9.8  0.05242   1.4991    21.08     
9.9  -0.24645  1.4796    21.29     
10   -0.53549  1.4012    21.5      
