x= 0,x= 0.1,x= 0.2,x= 0.3,x= 0.4,x= 0.5,x= 0.6,x= 0.7,x= 0.8,x= 0.9,x= 1
0.9,0.728115,0.278115,-0.278115,-0.728115,-0.9,-0.728115,-0.278115,0.278115,0.728115,0.9
0.9,0.693351,0.264836,-0.264836,-0.693351,-0.857029,-0.693351,-0.264836,0.264836,0.693351,0.9
0.9,0.60312,0.226268,-0.226268,-0.592377,-0.732219,-0.592377,-0.226268,0.226268,0.60312,0.9
0.9,0.492896,0.168779,-0.166093,-0.434837,-0.537488,-0.434837,-0.166093,0.168779,0.492896,0.9
0.9,0.403419,0.108601,-0.0893859,-0.235773,-0.291432,-0.235773,-0.0893859,0.108601,0.403419,0.9
0.9,0.364382,0.0726308,0.000220973,-0.0140272,-0.017546,-0.0140272,0.000220973,0.0726308,0.364382,0.9
0.9,0.386312,0.0914962,0.104368,0.210401,0.258099,0.210401,0.104368,0.0914962,0.386312,0.9
0.9,0.46296,0.187284,0.231806,0.420246,0.509895,0.420246,0.231806,0.187284,0.46296,0.9
0.9,0.579949,0.363121,0.395223,0.605393,0.716866,0.605393,0.395223,0.363121,0.579949,0.9
0.9,0.722743,0.60119,0.603157,0.765865,0.868101,0.765865,0.603157,0.60119,0.722743,0.9
0.9,0.879464,0.87014,0.851276,0.91122,0.968217,0.91122,0.851276,0.87014,0.879464,0.9
0.9,1.03899,1.1367,1.1191,1.05584,1.03984,1.05584,1.1191,1.1367,1.03899,0.9
0.9,1.18819,1.37444,1.37551,1.21227,1.11945,1.21227,1.37551,1.37444,1.18819,0.9
0.9,1.31191,1.56588,1.59084,1.38631,1.24548,1.38631,1.59084,1.56588,1.31191,0.9
0.9,1.39614,1.70007,1.7488,1.57627,1.44192,1.57627,1.7488,1.70007,1.39614,0.9
0.9,1.43232,1.77046,1.85144,1.77578,1.70554,1.77578,1.85144,1.77046,1.43232,0.9
0.9,1.41995,1.77656,1.91492,1.97664,2.00427,1.97664,1.91492,1.77656,1.41995,0.9
0.9,1.36675,1.7281,1.95925,2.16898,2.28919,2.16898,1.95925,1.7281,1.36675,0.9
0.9,1.28719,1.64709,1.99821,2.33894,2.51401,2.33894,1.99821,1.64709,1.28719,0.9
0.9,1.20082,1.56389,2.03458,2.46749,2.65129,2.46749,2.03458,1.56389,1.20082,0.9
0.9,1.13,1.50759,2.06151,2.53376,2.69667,2.53376,2.06151,1.50759,1.13,0.9
0.9,1.09609,1.49537,2.06801,2.52269,2.66059,2.52269,2.06801,1.49537,1.09609,0.9
0.9,1.11297,1.5265,2.04503,2.43243,2.55556,2.43243,2.04503,1.5265,1.11297,0.9
0.9,1.17999,1.58387,1.98926,2.27611,2.38897,2.27611,1.98926,1.58387,1.17999,0.9
0.9,1.27799,1.64162,1.90386,2.07628,2.16594,2.07628,1.90386,1.64162,1.27799,0.9
0.9,1.37239,1.67402,1.796,1.85577,1.89809,1.85577,1.796,1.67402,1.37239,0.9
0.9,1.42411,1.66151,1.67259,1.63089,1.60907,1.63089,1.67259,1.66151,1.42411,0.9
0.9,1.40415,1.59242,1.53599,1.41099,1.33097,1.41099,1.53599,1.59242,1.40415,0.9
0.9,1.30522,1.46215,1.38224,1.20233,1.09287,1.20233,1.38224,1.46215,1.30522,0.9
0.9,1.14422,1.27268,1.20349,1.01128,0.909506,1.01128,1.20349,1.27268,1.14422,0.9
