XPOS,PSI2
-3.5e-14,0
-3.47674e-14,0
-3.45349e-14,0
-3.43023e-14,0
-3.40698e-14,0
-3.38372e-14,0
-3.36047e-14,0
-3.33721e-14,0
-3.31395e-14,0
-3.2907e-14,0
-3.26744e-14,0
-3.24419e-14,0
-3.22093e-14,0
-3.19767e-14,0
-3.17442e-14,0
-3.15116e-14,0
-3.12791e-14,0
-3.10465e-14,0
-3.0814e-14,0
-3.05814e-14,0
-3.03488e-14,0
-3.01163e-14,0
-2.98837e-14,0
-2.96512e-14,0
-2.94186e-14,0
-2.9186e-14,0
-2.89535e-14,0
-2.87209e-14,0
-2.84884e-14,0
-2.82558e-14,0
-2.80233e-14,0
-2.77907e-14,0
-2.75581e-14,0
-2.73256e-14,0
-2.7093e-14,0
-2.68605e-14,0
-2.66279e-14,0
-2.63953e-14,0
-2.61628e-14,0
-2.59302e-14,0
-2.56977e-14,0
-2.54651e-14,0
-2.52326e-14,0
-2.5e-14,0
-2.47674e-14,0
-2.45349e-14,0
-2.43023e-14,0
-2.40698e-14,0
-2.38372e-14,0
-2.36047e-14,0
-2.33721e-14,0
-2.31395e-14,0
-2.2907e-14,0
-2.26744e-14,0
-2.24419e-14,0
-2.22093e-14,0
-2.19767e-14,0
-2.17442e-14,0
-2.15116e-14,0
-2.12791e-14,0
-2.10465e-14,0
-2.0814e-14,0
-2.05814e-14,0
-2.03488e-14,0
-2.01163e-14,0
-1.98837e-14,0
-1.96512e-14,0
-1.94186e-14,0
-1.9186e-14,0
-1.89535e-14,0
-1.87209e-14,0
-1.84884e-14,0
-1.82558e-14,0
-1.80233e-14,0
-1.77907e-14,0
-1.75581e-14,0
-1.73256e-14,0
-1.7093e-14,0
-1.68605e-14,0
-1.66279e-14,0
-1.63953e-14,0
-1.61628e-14,0
-1.59302e-14,0
-1.56977e-14,0
-1.54651e-14,0
-1.52326e-14,0
-1.5e-14,0
-1.47674e-14,0
-1.45349e-14,0
-1.43023e-14,0
-1.40698e-14,0
-1.38372e-14,0
-1.36047e-14,0
-1.33721e-14,0
-1.31395e-14,0
-1.2907e-14,0
-1.26744e-14,0
-1.24419e-14,0
-1.22093e-14,0
-1.19767e-14,0
-1.17442e-14,0
-1.15116e-14,0
-1.12791e-14,0
-1.10465e-14,0
-1.0814e-14,0
-1.05814e-14,0
-1.03488e-14,0
-1.01163e-14,0
-9.88372e-15,0
-9.65116e-15,0
-9.4186e-15,0
-9.18605e-15,0
-8.95349e-15,0
-8.72093e-15,0
-8.48837e-15,0
-8.25581e-15,0
-8.02326e-15,0
-7.7907e-15,0
-7.55814e-15,0
-7.32558e-15,0
-7.09302e-15,0
-6.86047e-15,0
-6.62791e-15,0
-6.39535e-15,0
-6.16279e-15,0
-5.93023e-15,0
-5.69767e-15,0
